"barcode","serial_no","manufacturer","value","model","categoryname","statusname","sitename","userfirstname","userlastname","usernickname","locationname",
"IWA00593","cp0824sf51u","Thomson","0.00","Wireless Router 1btg585n","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00594","6f740497yew","Apple","0.00","Wireless Router","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00595","1r8296bp003be","Netgear","0.00","Wireless Management Kit WAGL102","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00597","YKWE044950","FUJITSU SIEMENS","0.00","Server pyeco100a pd925 1g / 160g","Desktop PC","OK","Storage Unit - Preston","","","","",
"IWA00598","czc8388j5k","HP","0.00","Dx2400 Microtower Pc","Desktop PC","OK","Storage Unit - Preston","","","","",
"IWA00599","Unknown","HP","0.00","Proliant ml110 Desktop pc","Desktop PC","OK","Storage Unit - Preston","","","","",
"IWA00600","N/A","Vision","0.00","TM-UST Mounting Kit","Projectors","OK","Storage Unit - Preston","","","","",
"ISA01149","N/A","Unknown","0.00","Suspended ceiling mount","Mounting Kits","OK","Storage Unit - Preston","","","","",
"AAD00022","5015056390154","Masterplug","21.45","MCT0810/4 4 Socket, 8m, 240v, 10 Amp Casette ","Tools - Power","OK","Head Office - UK","Joe","Makepeace","Joe","Mini Cooper S - MINI COOPER S",
"AAD00023","L3ARJ3T","Boeing","10.00","Executive Plane","Tools - Hand","Damaged","","Joe","Makepeace","Joe","Mini Cooper S - MINI COOPER S",
"210210210","210210210","test","0.00","2109","Audio Equipment","Faulty","Head Office - UK","Demo","Account","Demo","Head Office - Admin Office",
"IWA30199","","Apple","0.00","Fhf46","Desktop PC","OK","Storage Unit - Preston","Joe","Makepeace","Joe","Head Office - Admin Office",
"IWA30599","","Apple","0.00","Fhf46","Desktop PC","OK","Technical Workshop - Preston","Joe","Makepeace","Joe","Head Office - Admin Office",
