test,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcode,serial,category,faculty,location,location_barcode,user,make,model,item_status,purchase_value,current_value,notes,purchase_date,warranty_date,replacement_date,pat_status,pat_date,,,,,,,,,,
SPC1069,1601665,FURN&EQ,Administration Building,Finance Office,SPC9007,792,Desk,1800x900x720mm,OK,187.5,,,01-09-08,29-04-14,01-09-11,,,,,,,,,,,,
SPC1070,1601666,FURN&EQ,Administration Building,Finance Office,SPC9007,792,Filing Cabinet,2 drawer with lock,OK,169,,,01-09-08,29-04-14,01-09-11,,,,,,,,,,,,
SPC1071,1601667,FURN&EQ,Administration Building,Finance Office,SPC9007,792,Pedestal,2D/1F with locks,OK,189,,,01-09-08,29-04-14,01-09-11,,,,,,,,,,,,
SPC1072,95101610,FURN&EQ,Administration Building,Finance Office,SPC9007,792,Return,1200x600x720mm,OK,115.5,,,01-09-08,29-01-14,01-09-11,,,,,,,,,,,,
SPC1073,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Chair,Profile High Back Gas,OK,130,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1074,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Credenza,with Lockable  Doors 1200x515x720mm,OK,318,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1075,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Cupboard,with locking swing doors,OK,441.5,,,11-09-08,,11-05-15,,,,,,,,,,,,
SPC1076,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Filing Cabinet,4 drawer red cherry ironstone,OK,366.5,,,11-09-08,,11-05-15,,,,,,,,,,,,
SPC1077,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Credenza,with Sliding Doors 1200x515x720mm,OK,318,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1078,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Desk,1800x900x720mm,OK,187.5,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1079,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Filing Cabinet,2 drawer with lock,OK,169,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1080,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Pedestal,2D/1F,OK,253,,,11-09-08,,11-05-15,,,,,,,,,,,,
SPC1081,,FURN&EQ,Administration Building,Head of Admin,SPC9008,792,Return,1200x600x720mm,OK,115.5,,,01-09-08,,,,,,,,,,,,,,
SPC1082,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Chair,Profile Task P1 E4,OK,195,,,11-09-08,,11-05-15,,,,,,,,,,,,
SPC1083,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Cupboard,with locking swing doors,OK,425.66,,,11-09-08,,11-05-15,,,,,,,,,,,,
SPC1084,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Pedestal,2D/1F with doors,OK,229.67,,,11-09-08,,11-05-15,,,,,,,,,,,,
SPC1085,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Table,Grant 900mm Cherry,OK,326.66,,,11-09-08,,11-05-15,,,,,,,,,,,,
SPC1086,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Bookcase,Open 1800x900x323mm,OK,209,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1087,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Bookcase,Open 1800x900x323mm,OK,209,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1088,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Credenza,with Sliding Doors 1200x515x720mm,OK,318,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1089,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Cupboard,with Swing Doors 1800x900x448,OK,374,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1090,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Desk,1800x900x720mm,OK,187.5,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1091,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Filing Cabinet,4 drawer with lock,OK,279,,,01-09-08,,01-09-18,,,,,,,,,,,,
SPC1092,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Pedestal,2D/1F with locks,OK,189,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1093,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Return,1200x600x720mm,OK,115.5,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1094,,FURN&EQ,Administration Building,Head of PC,SPC9009,792,Bookcase,Open 1800x900x323mm,OK,209,,,01-09-08,,01-05-15,,,,,,,,,,,,
SPC1096,,FURN&EQ,Administration Building,Meeting Rooms 1&2,SPC9010,792,Kettle,Sunbeam Aroma Coffee 12,OK,0,,,12-11-09,,,PASS,30-09-14,,,,,,,,,,
SPC1097,33649488963 (G Calton),FURN&EQ,Administration Building,Principal's Office,SPC9011,792,Bar Fridge,100L GVAF101,OK,199.09,,,07-07-08,13-01-17,07-07-11,,,,,,,,,,,,
SPC1098,35149360963,FURN&EQ,Administration Building,Principal's Office,SPC9011,792,Cupboard,Ascot American White Oak 1200x600x725,OK,758,,,18-07-08,13-01-17,18-07-11,,,,,,,,,,,,
SPC1099,35149333763,FURN&EQ,Administration Building,Principal's Office,SPC9011,792,Desk,Ascot Desk-2100x900x725,OK,410.75,,,18-07-08,13-01-17,18-07-11,,,,,,,,,,,,
SPC1100,35149355263,FURN&EQ,Administration Building,Principal's Office,SPC9011,792,Hutches,Ascot American White Oak 1200 x 1080 x 335,OK,111.71,,,18-07-08,13-01-17,18-07-11,,,,,,,,,,,,
SPC1101,91506499520,FURN&EQ,Administration Building,Principal's Office,SPC9011,792,Meeting Table,Ascot D End 1800x1200x720,OK,1090,,,18-07-08,21-06-12,18-07-11,,,,,,,,,,,,
SPC1102,91506500320,FURN&EQ,Administration Building,Principal's Office,SPC9011,792,Pedestal,2 dr Ascot American White Oak,OK,375,,,18-07-08,21-06-12,18-07-11,,,,,,,,,,,,
SPC1103,91506502220,FURN&EQ,Administration Building,Principal's Office,SPC9011,792,Pedestal,3 dr Ascot American White Oak,OK,397,,,18-07-08,21-06-12,18-07-11,,,,,,,,,,,,
SPC1104,91506505020,COMPUTERS,Administration Building,Principal's Office,SPC9011,792,Printer HP Laserjet,1320N  (Purchased 23/02/06),OK,550,,,24-02-07,21-02-12,24-02-10,,,,,,,,,,,,
SPC1105,91506503520,COMPUTERS,Administration Building,Principal's Office,SPC9011,792,Docking Station,Shintaro,OK,0,,,01-02-14,21-06-12,01-02-17,,,,,,,,,,,,
SPCMV00019,91506505920,MOTOR VEH,Administration Building,Principal's Office,SPC9011,792,Commodore S664 AWU,SV6 Sedan White,OK,0,,,01-01-14,21-06-12,01-01-17,,,,,,,,,,,,
SPC1107,91506506620,COMPUTERS,Administration Building,Principal's Office,SPC9011,350,Laptop ACER V5-473P 14,i5-4200U 2 x 4GB 120SSD,OK,0,,,04-12-13,21-06-12,04-12-16,,,,,,,,,,,,
SPC1108,33649469463,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,351,Credenza,with Lockable  Doors 1200x515x720mm,OK,318,,,01-09-08,13-01-17,01-09-11,,,,,,,,,,,,
SPC1109,R9-GPGV811/09,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Desk,1800x900x720mm,OK,187.5,,,01-09-08,,,,,,,,,,,,,,
SPC1110,12800779,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Filing Cabinet,2 drawer with lock,OK,169,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1111,13208009720,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Filing Cabinet,4 drawer with lock,OK,279,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1112,21602099,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Filing Cabinet,4 drawer with lock,OK,279,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1113,13207973020,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Hutch O'head Unit,Hutch O'head unit Red Cherry,OK,464,,,11-09-08,,11-09-11,,,,,,,,,,,,
SPC1114,,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Pedestal,2D/1F with locks,OK,189,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1115,91906296920,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Pedestal,2D/1F with locks,OK,189,,,01-09-08,15-06-12,01-09-11,,,,,,,,,,,,
SPC1116,12800724,FURN&EQ,Administration Building,Principal's Secretary,SPC9012,792,Return,1200x600x720mm,OK,115.5,,,01-09-08,,,,,,,,,,,,,,
SPCMV00005,91506507220,MOTOR VEH,Administration Building,Property Mgt,SPC9013,792,Toyota Hilux 4X2 WZF 208,Single Cab,OK,2301.46,,,19-12-03,21-06-12,19-12-06,,,,,,,,,,,,
SPC1118,91506508220,COMPUTERS,Administration Building,RE Office,SPC9014,350,Docking Station,Shintaro,OK,0,,,01-02-14,21-06-12,01-02-17,,,,,,,,,,,,
SPC1120,,FURN&EQ,Administration Building,Sick Room,SPC9015,792,First Aid Dressing Trolley,First Aid Dressing Trolley,OK,443.16,,,19-06-08,,,,,,,,,,,,,,
SPC1121,,FURN&EQ,Administration Building,Sick Room,SPC9015,792,Examination Couch,Grey,OK,392.67,,,19-06-08,,,,,,,,,,,,,,
SPC1122,,FURN&EQ,Administration Building,Sick Room,SPC9015,792,Chairs,Pluto Recliner,OK,1282,,,10-04-13,,,,,,,,,,,,,,
SPC1123,,FURN&EQ,Administration Building,Sick Room,SPC9015,792,Chair,Recliner Pluto Indian Red Vinyl,OK,1112,,,13-08-08,,13-04-15,,,,,,,,,,,,
SPC1124,,FURN&EQ,Administration Building,Sick Room,SPC9015,792,Chair,Recliner Pluto Indian Red Vinyl,OK,1138,,,01-03-09,,,,,,,,,,,,,,
SPC1125,,FURN&EQ,Administration Building,Sick Room,SPC9015,792,Wheel Chair,Wheel Chair,OK,318.39,,,19-06-08,,,,,,,,,,,,,,
SPC1126,25007759434,FURN&EQ,Administration Building,Student Services,SPC9016,792,Cabinet,tambour door 4 shelves,OK,1329,,,01-02-09,,,,,,,,,,,,,,
SPC1127,25007817634,FURN&EQ,Administration Building,Student Services,SPC9016,792,Chair,Student Recpetion,OK,193.5,,,01-09-08,,,,,,,,,,,,,,
SPC1128,25007827134,FURN&EQ,Administration Building,Student Services,SPC9016,792,Coffee Table,Beech Veneer top 1200 x 600 x 430,OK,243,,,23-07-08,,,,,,,,,,,,,,
SPC1130,25007864634,FURN&EQ,Administration Building,Student Services,SPC9016,792,Pedestal,2D/1F with locks,OK,189,,,01-09-08,,,,,,,,,,,,,,
SPC1131,25007874334,FURN&EQ,Administration Building,Student Services,SPC9016,792,Unibind Machine,XU238 220V,OK,1072.73,,,11-08-08,,,,,,,,,,,,,,
SPC4188,25007942834,FURN&EQ,Administration Building,Tea Room,SPC9017,792,Bar Fridge,100L GVAF102,OK,199.09,,Not Available,07-07-08,0000-00-00,0000-00-00,N/A,0000-00-00,,,,,,,,,,
SPC1133,,FURN&EQ,Automotive Workshop,Automotive Workshop,SPC9018,792,Battery Charger,Projecta 4300,OK,0,,,04-10-13,,,PASS,04-04-14,,,,,,,,,,
SPC1135,,FURN&EQ,Automotive Workshop,Automotive Workshop,SPC9018,350,Bench Grinder,Makita GB 601,OK,0,,,28-09-12,,,PASS,16-10-14,,,,,,,,,,
SPC1136,,FURN&EQ,Automotive Workshop,Automotive Workshop,SPC9018,350,Compressor,Toolex 17S,OK,0,,,19-07-05,,,PASS,16-10-14,,,,,,,,,,
SPC1137,,FURN&EQ,Automotive Workshop,Automotive Workshop,SPC9018,350,Fan,TQ Professional 750mm,OK,0,,,15-04-13,,,PASS,16-10-14,,,,,,,,,,
SPC1138,,FURN&EQ,Automotive Workshop,Automotive Workshop,SPC9018,350,Fan,TQ Professional 750mm,OK,0,,,15-04-13,,,PASS,16-10-14,,,,,,,,,,
SPC1139,,FURN&EQ,Automotive Workshop,Automotive Workshop,SPC9018,350,Light,Light,OK,0,,,19-07-05,,,PASS,15-10-13,,,,,,,,,,
SPC4156,,FURN&EQ,Automotive Workshop,Automotive Workshop,SPC9018,350,Light,Arlec Floodlight,OK,0,,,05-06-05,,,PASS,16-10-14,,,,,,,,,,
SPC1141,12800763,FURN&EQ,Br Seaman Building,Br Seaman Building,SPC9019,350,Brother Seaman,Aluminium Plate,OK,195,,,01-05-11,,,,,,,,,,,,,,
SPC1142,12800764,FURN&EQ,Br Seaman Building,Br Seaman Building,SPC9019,352,Floor Coverings,Science Pass,OK,3270,,,01-09-11,,,,,,,,,,,,,,
SPC1143,AUD834010N,FURN&EQ,Br Seaman Building,LAB PREP,SPC9020,352,Compactus,"2170x4160x1250 Silver Grey, 8 bays with 5 adj",OK,5680,,,04-02-11,,,,,,,,,,,,,,
SPC1144,AUD834010Y,FURN&EQ,Br Seaman Building,LAB PREP,SPC9020,353,Filing Cabinet,5 drawer Stand & Ironstone top,OK,761.82,,,04-02-11,,,,,,,,,,,,,,
